uuid,type,city,location,timestamp,description
08744d20-a26a-465d-a927-3f925a4fcefc,ACCIDENT,Vitacura,"{'x': -70.558191, 'y': -33.385635}",2025-06-17 03:35:15.468000,
a7e628a2-b5ad-481f-978f-2d8b2f2a8aee,ACCIDENT,Santiago,"{'x': -70.649525, 'y': -33.448054}",2025-06-17 03:35:15.471000,
4144536,accident,,"{'lat': -33.4948049121738, 'lon': -70.59119772960001}",2025-06-17T03:35:54.202225+00:00,
2154508,accident,,"{'lat': -33.470703090734034, 'lon': -70.7149208166476}",2025-06-17T03:35:56.288193+00:00,
8178327,accident,,"{'lat': -33.35919516823017, 'lon': -70.6190301946649}",2025-06-17T03:35:56.739259+00:00,
9387943,accident,,"{'lat': -33.371624247723524, 'lon': -70.70531706790277}",2025-06-17T03:35:57.645349+00:00,
3648179,accident,,"{'lat': -33.51061093944582, 'lon': -70.56150110346505}",2025-06-17T03:35:58.570559+00:00,
8010367,accident,,"{'lat': -33.5016176557285, 'lon': -70.55292966228066}",2025-06-17T03:35:58.790543+00:00,
8160272,accident,,"{'lat': -33.347552425422926, 'lon': -70.6564353354986}",2025-06-17T03:35:59.712136+00:00,
8557111,accident,,"{'lat': -33.40276223936537, 'lon': -70.63702062974025}",2025-06-17T03:35:59.932285+00:00,
8078548,accident,,"{'lat': -33.48819539175749, 'lon': -70.56660055372747}",2025-06-17T03:36:00.842095+00:00,
6146357,accident,,"{'lat': -33.38376225214775, 'lon': -70.72750751132092}",2025-06-17T03:36:01.074741+00:00,
6846525,accident,,"{'lat': -33.36985931738786, 'lon': -70.63758476785027}",2025-06-17T03:36:02.007878+00:00,
4897288,accident,,"{'lat': -33.510594672045634, 'lon': -70.72491915336016}",2025-06-17T03:36:02.478604+00:00,
3791213,accident,,"{'lat': -33.4336506769363, 'lon': -70.6740709123106}",2025-06-17T03:36:03.857449+00:00,
3350755,accident,,"{'lat': -33.450245646505465, 'lon': -70.73223700013789}",2025-06-17T03:36:04.089264+00:00,
7430342,accident,,"{'lat': -33.37134666429667, 'lon': -70.62920145329873}",2025-06-17T03:36:04.783545+00:00,
7565224,accident,,"{'lat': -33.41831629170932, 'lon': -70.69905088142124}",2025-06-17T03:36:05.002661+00:00,
3950137,accident,,"{'lat': -33.3571575257484, 'lon': -70.63652549322407}",2025-06-17T03:36:05.460064+00:00,
4049833,accident,,"{'lat': -33.37780586426724, 'lon': -70.59119849030556}",2025-06-17T03:36:06.156277+00:00,
2979936,accident,,"{'lat': -33.47336768209881, 'lon': -70.6389553122822}",2025-06-17T03:36:06.829678+00:00,
2940026,accident,,"{'lat': -33.50187774958042, 'lon': -70.66662544426366}",2025-06-17T03:36:07.049001+00:00,
7546677,accident,,"{'lat': -33.38965182279038, 'lon': -70.68792674545371}",2025-06-17T03:36:07.714638+00:00,
9177918,accident,,"{'lat': -33.367066786116254, 'lon': -70.60421335831357}",2025-06-17T03:36:07.942377+00:00,
9173887,accident,,"{'lat': -33.51093512617168, 'lon': -70.58893610889449}",2025-06-17T03:36:09.097341+00:00,
9818586,accident,,"{'lat': -33.467118620592046, 'lon': -70.66211879404194}",2025-06-17T03:36:11.814851+00:00,
5863356,accident,,"{'lat': -33.35087936267853, 'lon': -70.71678505428447}",2025-06-17T03:36:12.510191+00:00,
5321131,accident,,"{'lat': -33.50967211668028, 'lon': -70.63826485870023}",2025-06-17T03:36:12.730844+00:00,
6468954,accident,,"{'lat': -33.3541351756095, 'lon': -70.65385611400674}",2025-06-17T03:36:13.210954+00:00,
9868830,accident,,"{'lat': -33.48384847384483, 'lon': -70.63235130326719}",2025-06-17T03:36:13.426888+00:00,
2826711,accident,,"{'lat': -33.501558787247625, 'lon': -70.5768069815046}",2025-06-17T03:36:14.105014+00:00,
8577232,accident,,"{'lat': -33.38950052058028, 'lon': -70.57215483947417}",2025-06-17T03:36:15.028789+00:00,
9542227,accident,,"{'lat': -33.36479045291701, 'lon': -70.70177101263025}",2025-06-17T03:36:16.430288+00:00,
7924641,accident,,"{'lat': -33.43848139657397, 'lon': -70.69981240566544}",2025-06-17T03:36:16.648073+00:00,
7399525,accident,,"{'lat': -33.47205852204351, 'lon': -70.67564724812645}",2025-06-17T03:36:17.086507+00:00,
8464583,accident,,"{'lat': -33.46722688516869, 'lon': -70.6279852160155}",2025-06-17T03:36:17.325428+00:00,
9643130,accident,,"{'lat': -33.40961743533618, 'lon': -70.65996517216541}",2025-06-17T03:36:17.774854+00:00,
2087363,accident,,"{'lat': -33.476755444306804, 'lon': -70.65506396588141}",2025-06-17T03:36:18.469889+00:00,
2657038,accident,,"{'lat': -33.41525386186586, 'lon': -70.659341488894}",2025-06-17T03:36:18.946280+00:00,
4232508,accident,,"{'lat': -33.431058287541404, 'lon': -70.70574004613844}",2025-06-17T03:36:20.319284+00:00,
8055423,accident,,"{'lat': -33.46844311871903, 'lon': -70.58431766686057}",2025-06-17T03:36:20.553184+00:00,
6849964,accident,,"{'lat': -33.47059137559324, 'lon': -70.6651645295287}",2025-06-17T03:36:21.003038+00:00,
2169452,accident,,"{'lat': -33.49589884120994, 'lon': -70.61486214132337}",2025-06-17T03:36:21.474387+00:00,
1396060,accident,,"{'lat': -33.37154715837958, 'lon': -70.656908155807}",2025-06-17T03:36:21.928206+00:00,
4165460,accident,,"{'lat': -33.45929077080781, 'lon': -70.70801776283585}",2025-06-17T03:36:23.067235+00:00,
4391515,accident,,"{'lat': -33.43050121291747, 'lon': -70.58712568112675}",2025-06-17T03:36:23.758712+00:00,
4040857,accident,,"{'lat': -33.38595784721159, 'lon': -70.70462181653195}",2025-06-17T03:36:24.899528+00:00,
5326926,accident,,"{'lat': -33.43299224583823, 'lon': -70.70077195037801}",2025-06-17T03:36:25.830117+00:00,
9363493,accident,,"{'lat': -33.39172810425341, 'lon': -70.56110259175645}",2025-06-17T03:36:26.294276+00:00,
8875655,accident,,"{'lat': -33.359264613830305, 'lon': -70.67036519728589}",2025-06-17T03:36:26.974160+00:00,
8464976,accident,,"{'lat': -33.455954293355965, 'lon': -70.71143360177311}",2025-06-17T03:36:27.195816+00:00,
8566747,accident,,"{'lat': -33.49258073122636, 'lon': -70.68058101770498}",2025-06-17T03:36:27.425193+00:00,
2519542,accident,,"{'lat': -33.43407385496968, 'lon': -70.57290206424037}",2025-06-17T03:36:27.668192+00:00,
4715723,accident,,"{'lat': -33.39346903633402, 'lon': -70.69019536823733}",2025-06-17T03:36:28.578014+00:00,
1035247,accident,,"{'lat': -33.357546446175036, 'lon': -70.60297038831541}",2025-06-17T03:36:29.684440+00:00,
2973838,accident,,"{'lat': -33.37012291337139, 'lon': -70.65933830273967}",2025-06-17T03:36:30.149833+00:00,
4215230,accident,,"{'lat': -33.50281786837135, 'lon': -70.73663059376169}",2025-06-17T03:36:31.978318+00:00,
9966021,accident,,"{'lat': -33.484190568791334, 'lon': -70.63110551227281}",2025-06-17T03:36:32.199716+00:00,
7314176,accident,,"{'lat': -33.44119131365488, 'lon': -70.6806175054238}",2025-06-17T03:36:33.551747+00:00,
2838368,accident,,"{'lat': -33.50835074637007, 'lon': -70.62613688777621}",2025-06-17T03:36:33.778573+00:00,
2320390,accident,,"{'lat': -33.40669248513624, 'lon': -70.61398635112029}",2025-06-17T03:36:34.468867+00:00,
9855446,accident,,"{'lat': -33.41207167698659, 'lon': -70.72526660418144}",2025-06-17T03:36:35.614365+00:00,
6884001,accident,,"{'lat': -33.35638944988093, 'lon': -70.65494013219202}",2025-06-17T03:36:36.518543+00:00,
9668010,accident,,"{'lat': -33.48521400779541, 'lon': -70.60229673638773}",2025-06-17T03:36:36.984481+00:00,
6110830,accident,,"{'lat': -33.49688535829228, 'lon': -70.68759048344063}",2025-06-17T03:36:37.898215+00:00,
1039937,accident,,"{'lat': -33.492023631329374, 'lon': -70.68668906968048}",2025-06-17T03:36:38.356883+00:00,
3258470,accident,,"{'lat': -33.37494833283966, 'lon': -70.57051048055305}",2025-06-17T03:36:39.051763+00:00,
5071229,accident,,"{'lat': -33.412530296519726, 'lon': -70.59216095666329}",2025-06-17T03:36:39.283034+00:00,
5113173,accident,,"{'lat': -33.41952359496361, 'lon': -70.70542187271028}",2025-06-17T03:36:39.949891+00:00,
2047452,accident,,"{'lat': -33.485476407115875, 'lon': -70.63670693907346}",2025-06-17T03:36:40.179962+00:00,
4034590,accident,,"{'lat': -33.454534922573735, 'lon': -70.57850051017283}",2025-06-17T03:36:40.885116+00:00,
5315433,accident,,"{'lat': -33.36338050978403, 'lon': -70.74007356712035}",2025-06-17T03:36:41.111043+00:00,
